iter	Passed	Remaining
659	7267	3743
660	7274	3730
661	7281	3717
662	7288	3704
663	7295	3691
664	7302	3678
665	7309	3665
666	7317	3653
667	7325	3640
668	7332	3627
669	7340	3615
670	7346	3602
671	7354	3589
672	7362	3577
673	7369	3564
674	7377	3552
675	7384	3539
676	7392	3526
677	7399	3514
678	7407	3502
679	7416	3489
680	7424	3477
681	7430	3464
682	7437	3452
683	7446	3440
684	7453	3427
685	7459	3414
686	7466	3401
687	7479	3392
688	7489	3380
689	7497	3368
690	7506	3356
691	7513	3344
692	7526	3334
693	7535	3322
694	7543	3310
695	7551	3298
696	7558	3285
697	7567	3274
698	7576	3262
699	7584	3250
700	7592	3238
701	7599	3226
702	7608	3214
703	7615	3202
704	7623	3189
705	7630	3177
706	7642	3167
707	7651	3155
708	7663	3145
709	7671	3133
710	7678	3121
711	7685	3108
712	7691	3096
713	7699	3084
714	7706	3071
715	7715	3060
716	7725	3049
717	7734	3037
718	7743	3026
719	7749	3013
720	7756	3001
721	7763	2989
722	7771	2977
723	7777	2965
724	7785	2952
725	7792	2940
726	7799	2928
727	7805	2916
728	7814	2904
729	7821	2893
730	7829	2881
731	7836	2869
732	7842	2856
733	7851	2845
734	7859	2833
735	7866	2821
736	7873	2809
737	7880	2797
738	7888	2785
739	7895	2774
740	7903	2762
741	7913	2751
742	7920	2739
743	7928	2727
744	7935	2716
745	7943	2704
746	7952	2693
747	7959	2681
748	7972	2671
749	7982	2660
750	7989	2649
751	7998	2637
752	8004	2625
753	8012	2614
754	8019	2602
755	8027	2590
756	8035	2579
757	8044	2568
758	8052	2556
759	8060	2545
760	8068	2534
761	8077	2522
762	8083	2510
763	8091	2499
764	8098	2487
765	8105	2476
766	8113	2464
767	8120	2453
768	8128	2441
769	8135	2429
770	8142	2418
771	8149	2406
772	8156	2395
773	8164	2383
774	8171	2372
775	8179	2361
776	8186	2349
777	8194	2338
778	8201	2326
779	8209	2315
780	8216	2303
781	8225	2292
782	8232	2281
783	8240	2270
784	8249	2259
785	8257	2248
786	8264	2236
787	8271	2225
788	8278	2213
789	8286	2202
790	8292	2191
791	8299	2179
792	8307	2168
793	8319	2158
794	8327	2147
795	8334	2136
796	8343	2125
797	8350	2113
798	8358	2102
799	8364	2091
800	8373	2080
801	8381	2069
802	8389	2058
803	8396	2046
804	8403	2035
805	8411	2024
806	8417	2013
807	8423	2001
808	8431	1990
809	8438	1979
810	8445	1968
811	8454	1957
812	8462	1946
813	8471	1935
814	8479	1924
815	8486	1913
816	8494	1902
817	8500	1891
818	8507	1880
819	8514	1869
820	8521	1857
821	8528	1846
822	8535	1835
823	8543	1824
824	8551	1813
825	8558	1802
826	8566	1792
827	8574	1781
828	8582	1770
829	8588	1759
830	8596	1748
831	8603	1737
832	8611	1726
833	8619	1715
834	8626	1704
835	8634	1693
836	8642	1682
837	8649	1672
838	8657	1661
839	8667	1650
840	8674	1640
841	8682	1629
842	8690	1618
843	8700	1608
844	8709	1597
845	8716	1586
846	8722	1575
847	8729	1564
848	8736	1553
849	8744	1543
850	8752	1532
851	8760	1521
852	8767	1511
853	8775	1500
854	8782	1489
855	8789	1478
856	8796	1467
857	8804	1457
858	8812	1446
859	8820	1435
860	8827	1425
861	8834	1414
862	8841	1403
863	8849	1392
864	8856	1382
865	8863	1371
866	8870	1360
867	8878	1350
868	8885	1339
869	8892	1328
870	8900	1318
871	8906	1307
872	8916	1297
873	8923	1286
874	8930	1275
875	8937	1265
876	8947	1254
877	8955	1244
878	8962	1233
879	8970	1223
880	8978	1212
881	8985	1202
882	8992	1191
883	8998	1180
884	9004	1170
885	9012	1159
886	9020	1149
887	9027	1138
888	9033	1127
889	9040	1117
890	9048	1106
891	9055	1096
892	9062	1085
893	9070	1075
894	9078	1065
895	9087	1054
896	9097	1044
897	9107	1034
898	9119	1024
899	9131	1014
900	9139	1004
901	9147	993
902	9155	983
903	9163	973
904	9171	962
905	9179	952
906	9187	942
907	9195	931
908	9202	921
909	9212	911
910	9225	901
911	9232	890
912	9244	880
913	9253	870
914	9261	860
915	9269	850
916	9279	839
917	9287	829
918	9294	819
919	9302	808
920	9310	798
921	9318	788
922	9325	777
923	9333	767
924	9341	757
925	9349	747
926	9356	736
927	9364	726
928	9372	716
929	9386	706
930	9396	696
931	9404	686
932	9412	675
933	9427	666
934	9439	656
935	9447	645
936	9457	635
937	9465	625
938	9476	615
939	9484	605
940	9495	595
941	9504	585
942	9516	575
943	9530	565
944	9540	555
945	9550	545
946	9562	535
947	9571	525
948	9579	514
949	9595	505
950	9606	494
951	9633	485
952	9651	475
953	9658	465
954	9667	455
955	9681	445
956	9688	435
957	9697	425
958	9705	414
959	9716	404
960	9724	394
961	9734	384
962	9742	374
963	9750	364
964	9758	353
965	9766	343
966	9774	333
967	9783	323
968	9791	313
969	9800	303
970	9808	292
971	9816	282
972	9824	272
973	9832	262
974	9840	252
975	9847	242
976	9859	232
977	9868	221
978	9887	212
979	9896	201
980	9905	191
981	9917	181
982	9925	171
983	9932	161
984	9939	151
985	9947	141
986	9955	131
987	9964	121
988	9972	110
989	9979	100
990	9987	90
991	9996	80
992	10004	70
993	10011	60
994	10018	50
995	10025	40
996	10034	30
997	10041	20
998	10048	10
999	10055	0
